"Sample IDs","MPR","MS","TtT","RAF"
"1400_2024.25.MN.080_3",1.3186372745491,0.355377466666667,48,0.0208333333333333
"1401_2024.25.MN.081_3",1.225,0.866666666666667,48,0.0208333333333333
"1402_2024.25.MN.082_3",1.16288659793814,0.497594533333333,48,0.0208333333333333
"1403_2024.25.MN.083_3",1.19076305220884,0.829986666666667,48,0.0208333333333333
"1404_2024.25.MN.084_3",1.19373776908023,0.767123333333333,48,0.0208333333333333
"1405_2024.25.MN.085_3",1.17276422764228,0.739837333333333,48,0.0208333333333333
"1406_2024.25.MN.086_3",1.20689655172414,0.8326948,48,0.0208333333333333
"1407_2024.25.MN.087_3",1.18295218295218,0.706860666666667,48,0.0208333333333333
"1408_2024.25.MN.088_3",1.16470588235294,0.729411733333333,48,0.0208333333333333
"1409_2024.25.MN.089_3",1.19230769230769,0.788124133333333,48,0.0208333333333333
"1410_2024.25.MN.090_3",1.13757700205339,0.687200533333333,48,0.0208333333333333
"1412_2024.25.WI.001_4",1.14498141263941,0.8004956,48,0.0208333333333333
"1413_2024.25.WI.002_4",1.21189591078067,0.793060666666667,48,0.0208333333333333
"1389_2024.25.MN.069_3",1.18566176470588,0.887254933333333,48,0.0208333333333333
"1390_2024.25.MN.070_3",1.1598440545809,0.748538,48,0.0208333333333333
"1391_2024.25.MN.071_3",1.12727272727273,0.711111066666667,48,0.0208333333333333
"1392_2024.25.MN.072_3",1.13582677165354,0.7454068,48,0.0208333333333333
"1393_2024.25.MN.073_3",1.10633484162896,0.494720933333333,48,0.0208333333333333
"1394_2024.25.MN.074_3",1.22659176029963,0.916354533333333,48,0.0208333333333333
"1395_2024.25.MN.075_3",1.21807465618861,0.869679066666667,48,0.0208333333333333
"1396_2024.25.MN.076_3",1.1812865497076,0.826510666666667,48,0.0208333333333333
"1397_2024.25.MN.077_3",1.21828358208955,0.910447733333334,48,0.0208333333333333
"1398_2024.25.MN.078_3",1.20454545454545,1.009324,48,0.0208333333333333
"1399_2024.25.MN.079_3",1.21541501976285,0.8774704,48,0.0208333333333333
"1400_2024.25.MN.080_3",1.09108527131783,0.121447066666667,48,0.0208333333333333
"1401_2024.25.MN.081_3",1.23456790123457,0.933568533333333,48,0.0208333333333333
"1402_2024.25.MN.082_3",1.17647058823529,0.637908533333333,48,0.0208333333333333
"1403_2024.25.MN.083_3",1.19669117647059,0.860294133333333,48,0.0208333333333333
"1404_2024.25.MN.084_3",1.21546961325967,0.8717004,48,0.0208333333333333
"1405_2024.25.MN.085_3",1.18461538461538,0.8,48,0.0208333333333333
"1406_2024.25.MN.086_3",1.21124031007752,0.9069768,48,0.0208333333333333
"1407_2024.25.MN.087_3",1.12627291242363,0.6137136,48,0.0208333333333333
"1408_2024.25.MN.088_3",1.15976331360947,0.7232084,48,0.0208333333333333
"1409_2024.25.MN.089_3",1.16153846153846,0.753846133333333,48,0.0208333333333333
"1410_2024.25.MN.090_3",1.1144578313253,0.6746988,48,0.0208333333333333
"1412_2024.25.WI.001_4",1.15789473684211,0.8239116,48,0.0208333333333333
"1413_2024.25.WI.002_4",1.36614853195164,0.773747866666667,48,0.0208333333333333
"1389_2024.25.MN.069_3",1.1443661971831,0.816901466666667,48,0.0208333333333333
"1390_2024.25.MN.070_3",1.13412228796844,0.731098,48,0.0208333333333333
"1391_2024.25.MN.071_3",1.25150905432596,0.7914152,48,0.0208333333333333
"1392_2024.25.MN.072_3",1.1972920696325,0.827852933333333,48,0.0208333333333333
"1393_2024.25.MN.073_3",1.10267857142857,0.5178572,48,0.0208333333333333
"1394_2024.25.MN.074_3",1.20149253731343,0.880597066666667,48,0.0208333333333333
"1395_2024.25.MN.075_3",1.20267686424474,0.9024856,48,0.0208333333333333
"1396_2024.25.MN.076_3",1.16122840690979,0.834293066666667,48,0.0208333333333333
"1397_2024.25.MN.077_3",1.18392857142857,0.9690476,48,0.0208333333333333
"1398_2024.25.MN.078_3",1.16387959866221,0.963210666666667,48,0.0208333333333333
